Rank	Analyst	DraftSlots	PlayerRanks	Positions	Teams	Total
161	Staff - Draft Blaster	32	66	12	3	113
162	Eric Edholm - NFL.com	36	63	12	2	113
163	Chad Reuter - NFL.com	42	51	16	3	112
164	Joe Pisapia - FantasyPros	32	56	20	3	111
165	Lukas Kacer - The Fantasy Stock Exchange	30	61	16	3	110
166	Justin Fuhr - Pro Football Mania	38	56	12	3	109
167	John Oates - DraftID	29	58	18	3	108
168	Zach Brunner - FlurrySports	24	66	14	2	106
169	Randy Gurzi - NFL Spin Zone	31	49	20	2	102
170	Grant Tuttle - Arrowhead Addict	29	54	16	2	101
171	Justin Weigal - Fantasy Sharks	23	60	12	3	98
172	Mike Florio - ProFootballTalk	26	52	16	3	97
